condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,n_success,n_rollouts,success_rate,track_pos_cm,tracking_metric_type,track_ori_deg,track_total,tracking_count,tracking_complete,tracking_workspace_filter,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+colored GP,colored_gp,point,n0,0mm,0.0,0.0,lamp,14,36,0.3888888888888889,4.517015726668118,position,,,40,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 46, 'included_segment_count': 41, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,lamp,13,36,0.3611111111111111,16.49830835804514,position,,,166,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,lamp,14,36,0.3888888888888889,5.637146387737251,position,,,35,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 2, 'final_segment_count': 47, 'included_segment_count': 45, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,lamp,17,36,0.4722222222222222,4.8269519168815025,position,,,43,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 53, 'included_segment_count': 48, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,lamp,13,36,0.3611111111111111,5.627338472248328,position,,,29,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 43, 'included_segment_count': 38, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+colored GP,colored_gp,point,n4,24mm,24.0,0.0,lamp,15,36,0.4166666666666667,6.2416563721816845,position,,,27,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 7, 'final_segment_count': 37, 'included_segment_count': 30, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n0,0mm,0.0,0.0,lamp,12,36,0.3333333333333333,4.459670267157039,position,,,32,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 41, 'included_segment_count': 36, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,shuffle,shuffled-guidance,0.0,0.0,lamp,10,36,0.2777777777777778,15.471874037542532,position,,,162,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+GP+skill,gp_skill,point,n1,3mm,3.0,0.0,lamp,13,36,0.3611111111111111,4.963545939717759,position,,,34,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 4, 'final_segment_count': 42, 'included_segment_count': 38, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n2,6mm,6.0,0.0,lamp,17,36,0.4722222222222222,5.153560278925675,position,,,40,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 47, 'included_segment_count': 41, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
