condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,skill_type,n_skill_states,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_complete,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+grasp-part,grasp_part,grasp-part,shuffle,shuffled-guidance,0.0,0.0,place,123,123,97,0.7886178861788617,12.089404476616702,47.41333053861871,21.57207058434044,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part,grasp_part,grasp-part,n0,0mm/0deg,0.0,0.0,insert,21,89,86,0.9662921348314607,1.1022883987769965,11.103241480814003,3.3229366949397963,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,shuffle,shuffled-guidance,0.0,0.0,insert,89,89,83,0.9325842696629213,10.583947586660216,55.68675144208586,21.72129787507739,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part,grasp_part,grasp-part,n0,0mm/0deg,0.0,0.0,screw,12,86,74,0.8604651162790697,4.055047448766983,26.45158469876894,9.345364388520773,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,shuffle,shuffled-guidance,0.0,0.0,screw,83,83,74,0.891566265060241,29.297658593150672,60.98352010964028,41.49436261507872,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part,grasp_part,grasp-part,n1,3mm/2.5deg,3.0,2.5,push,23,108,106,0.9814814814814815,5.799449916481807,48.61041351050173,15.521532618582153,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n1,3mm/2.5deg,3.0,2.5,pick,38,170,160,0.9411764705882353,3.0083234201597806,20.723438646404123,7.153011149440606,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n1,3mm/2.5deg,3.0,2.5,place,26,124,101,0.8145161290322581,2.6234936134838884,25.33595699520496,7.69068501252488,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n1,3mm/2.5deg,3.0,2.5,insert,22,93,91,0.978494623655914,1.2081108276442303,11.675755374049215,3.543261902454074,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n1,3mm/2.5deg,3.0,2.5,screw,10,91,81,0.8901098901098901,3.874000198040769,28.595596150495844,9.593119428139937,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n2,6mm/5deg,6.0,5.0,push,21,108,100,0.9259259259259259,7.100647836408457,49.88476768315394,17.077601373039244,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n2,6mm/5deg,6.0,5.0,pick,43,171,169,0.9883040935672515,2.7177604723676767,19.786637282014468,6.675087928770573,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n2,6mm/5deg,6.0,5.0,place,30,133,111,0.8345864661654135,2.059688237882981,18.115124222422885,5.682713082367559,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n2,6mm/5deg,6.0,5.0,insert,27,97,96,0.9896907216494846,1.7333834213353878,19.118540774479303,5.557091576231247,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n2,6mm/5deg,6.0,5.0,screw,16,96,81,0.84375,3.916936082121075,27.76165127230699,9.469266336582473,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n3,12mm/10deg,12.0,10.0,push,19,108,105,0.9722222222222222,6.583281907883514,53.343457617996464,17.251973431482806,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n3,12mm/10deg,12.0,10.0,pick,37,175,171,0.9771428571428571,5.118350479255287,24.787666448767215,10.075883769008732,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n3,12mm/10deg,12.0,10.0,place,26,134,111,0.8283582089552238,3.8810541101762137,40.40088601085063,11.961231312346339,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n3,12mm/10deg,12.0,10.0,insert,20,106,104,0.9811320754716981,2.1746128711015795,20.370850184143837,6.248782907930347,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n3,12mm/10deg,12.0,10.0,screw,10,104,93,0.8942307692307693,3.471748581303782,43.46186814343501,12.164122209990783,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n4,24mm/20deg,24.0,20.0,push,17,108,105,0.9722222222222222,6.728360776769747,57.40405529378978,18.209171835527705,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n4,24mm/20deg,24.0,20.0,pick,32,170,159,0.9352941176470588,6.0124137331238,40.74148357351187,14.160710447826172,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n4,24mm/20deg,24.0,20.0,place,26,123,104,0.8455284552845529,4.947220238554525,45.70074096163907,14.08736843088234,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n4,24mm/20deg,24.0,20.0,insert,18,98,97,0.9897959183673469,3.9596489714608927,37.53699467134273,11.467047905729437,True,saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n4,24mm/20deg,24.0,20.0,screw,7,97,84,0.865979381443299,5.666714149793804,33.27515429574721,12.321745008943244,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,push,24,108,105,0.9722222222222222,6.618911205726484,54.68097964943478,17.55510713561344,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,push,108,108,107,0.9907407407407407,12.181312868256239,46.41002072852314,21.463317013960864,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,pick,41,172,165,0.9593023255813954,2.1080382063341268,19.366279772161107,5.981294160766348,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,pick,180,180,169,0.9388888888888889,20.64597591518853,76.4539515322737,35.93676622164328,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,place,27,129,102,0.7906976744186046,2.344986103914421,27.979186210175797,7.940823345949582,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,place,133,133,109,0.8195488721804511,13.254993734444017,47.76509469340278,22.808012673124576,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,insert,20,90,90,1.0,1.0970021549660596,14.075055712877623,3.9120132975415842,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,insert,96,96,95,0.9895833333333334,10.5616586099304,57.91361297632353,22.144381205195106,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
